"Title","Default language","Default text","zh-cn text","Variant status","Placeholder"
"Homepage::Learn More","English","Learn More","了解更多","Active","dc.homepage-learn_more"
"Homepage::Liferay Global Services","English","Liferay Global Services","Liferay 全球服务","Active","dc.homepage-liferay_global_services"
"Homepage::Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","从专家那里获得广泛的产品和开发知识，以最大化您的投资回报率。","Active","dc.homepage-liferay_global_services_description"
"Homepage::Liferay University","English","Liferay University","Liferay 大学","Active","dc.homepage-liferay_university"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","这里有深入的视频资源，动手练习的机会，来模拟真人培训， 帮助您培训您的团队学习Liferay最基本的知识","Active","dc.homepage-liferay_university_description"
"Homepage::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.homepage-portal_5_2"
"Homepage::Product Releases","English","Product Releases","产品发布","Active","dc.homepage-product_releases"
"Homepage::Search the Help Center","English","Search the Help Center","搜索Help Center","Active","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","安全更新","Active","dc.homepage-security_updates"
"Homepage::See More","English","See More","了解更多","Active","dc.homepage-see_more"
"Homepage::Still Need Help?","English","Still Need Help?","还需要帮助？","Active","dc.homepage-still_need_help"
"Homepage::Submit a Ticket Description","English","Open a support case to report an issue and get help from a Liferay Support Team member.","创建一个support case来报道这个问题，Liferay Support Team将很快帮助您","Active","dc.homepage-submit_a_ticket_description"
"How Can We Help","English","How can we help?","有什么可以帮到您的吗？","Active","dc.how_can_we_help"
"Knowledge Base","English","Knowledge Base","知识库","Active","dc.knowledge_base"
"Known Issues","English","Known Issues","已知问题","Active","dc.known_issues"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","如果您还是没有找到一个解决方案，请告诉我们","Active","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Long-Term Resolution::Bug Fix","English","Bug Fix","错误修复","Active","dc.long-term_resolution-bug_fix"
"Long-Term Resolution::Developer Documentation","English","Developer Documentation","开发人员文档","Active","dc.long-term_resolution-developer_documentation"
"Long-Term Resolution::Product Improvement","English","Product Improvement","产品优化","Active","dc.long-term_resolution-product_improvement"
"Long-Term Resolution::User Documentation","English","User Documentation","用户文档","Active","dc.long-term_resolution-user_documentation"
"Mega Menu::Account Support","English","Account Support","账户支持","Active","dc.mega_menu-account_support"
"Mega Menu::Account Support Description","English","Learn more about designated contacts for your project","","","dc.mega_menu-account_support_description"
"Mega Menu::Activation Keys","English","Activation Keys","许可证","Active","dc.mega_menu-activation_keys"
"Mega Menu::Activation Keys Description","English","Activate your environments to start a project","激活您的环境，开始您的项目","Active (Out of date)","dc.mega_menu-activation_keys_description"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.mega_menu-analytics_cloud"
"Mega Menu::Announcements","English","Announcements","通知","Active","dc.mega_menu-announcements"
"Mega Menu::Announcements Description","English","Updates on products and system improvements","关于产品，以及系统优化的更新","Active","dc.mega_menu-announcements_description"
"Mega Menu::Commerce","English","Commerce","Commerce","Active","dc.mega_menu-commerce"
"Mega Menu::Compatibility Matrix","English","Compatibility Matrix","兼容性列表","Active","dc.mega_menu-compatibility_matrix"
"Mega Menu::Compatibility Matrix Description","English","Supported configurations for Liferay products","Liferay产品支持的配置","Active","dc.mega_menu-compatibility_matrix_description"
"Mega Menu::Contact Us","English","Contact Us","联系我们","Active","dc.mega_menu-contact_us"
"Mega Menu::Documentation","English","Documentation","文档","Active","dc.mega_menu-documentation"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","产品指南，教程，参考文档","Active","dc.mega_menu-documentation_description"
"Mega Menu::Downloads","English","Downloads","下载","Active","dc.mega_menu-downloads"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","产品，整合服务包，补丁包，和安全修复","Active","dc.mega_menu-downloads_description"
"Mega Menu::DXP 7.0","English","DXP 7.0","DXP 7.0","Active","dc.mega_menu-dxp_7_0"
"Mega Menu::DXP 7.1","English","DXP 7.1","DXP 7.1","Active","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP Cloud","English","DXP Cloud","DXP 7.1","Active","dc.mega_menu-dxp_cloud"
"Mega Menu::Fix Delivery Method","English","Fix Delivery Method","提供补丁修复的方式","Active","dc.mega_menu-fix_delivery_method"
"Mega Menu::Fix Delivery Method Description","English","How Liferay delivers software updates","Liferay如何发布软件更新","Active","dc.mega_menu-fix_delivery_method_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","补丁工具","Active","dc.mega_menu-fix_pack_tool"
"Mega Menu::Fix Pack Tool Description","English","View highlights and release notes for Liferay DXP fix packs","Liferay DXP补丁包中修复的重点和发布说明","Active","dc.mega_menu-fix_pack_tool_description"
"Mega Menu::Knowledge Base","English","Knowledge Base","知识库","Active","dc.mega_menu-knowledge_base"
"Mega Menu::Knowledge Base Description","English","Articles on recurring topics, issues, and themes","关于重复出现的话题，问题和主题的文章库","Active (Out of date)","dc.mega_menu-knowledge_base_description"
"Mega Menu::My Tickets","English","My Tickets","我的票","Active","dc.mega_menu-my_tickets"
"Mega Menu::Overview","English","Security Overview","安全概览","Active","dc.mega_menu-overview"
"Mega Menu::Overview Description","English","How Liferay approaches security","Liferay如何处理安全问题","Active","dc.mega_menu-overview_description"
"Mega Menu::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.mega_menu-portal_5_2"
"Mega Menu::Portal 6.0","English","Portal 6.0","Portal 6.0","Active","dc.mega_menu-portal_6_0"
"Mega Menu::Portal 6.1","English","Portal 6.1","Portal 6.1","Active","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.2","English","Portal 6.2","Portal 6.2","Active","dc.mega_menu-portal_6_2"
"Mega Menu::Products","English","Products","产品","Active","dc.mega_menu-products"
"Mega Menu::Project Details","English","Project Details","项目详情","Active","dc.mega_menu-project_details"
"Mega Menu::Reporting Security Issues","English","Reporting Security Issues","报道安全问题","Active","dc.mega_menu-reporting_security_issues"
"Mega Menu::Reporting Security Issues Description","English","Process for reporting security vulnerabilities","报道Liferay产品的安全问题的流程","Active (Out of date)","dc.mega_menu-reporting_security_issues_description"
"Mega Menu::Resources","English","Resources","资源","Active","dc.mega_menu-resources"
"Mega Menu::Security","English","Security","安全","Active","dc.mega_menu-security"
"Mega Menu::Security Advisories","English","Security Advisories","安全建议","Active","dc.mega_menu-security_advisories"
"Mega Menu::Security Advisories Description","English","Information and fixes for known vulnerabilities","报道Liferay产品的安全问题的政策","Active","dc.mega_menu-security_advisories_description"
"Mega Menu::Security and Disclosure Policy","English","Security Policies","安全策略","Active","dc.mega_menu-security_and_disclosure_policy"
"Mega Menu::Security and Disclosure Policy Description","English","Policy for reported security issues in Liferay products","Liferay产品安全问题处理策略","Active","dc.mega_menu-security_and_disclosure_policy_description"
"Mega Menu::Service Levels","English","Service Levels","服务级别","Active","dc.mega_menu-service_levels"
"Mega Menu::Service Levels Description","English","Benefits included with each subscription level","每个订阅级别包含的优势总结","Active (Out of date)","dc.mega_menu-service_levels_description"
"Mega Menu::Service Life","English","Service Life","服务支持的期限","Active","dc.mega_menu-service_life"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","每个产品的支持终止政策","Active","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","提交一个Ticket","Active","dc.mega_menu-submit_a_ticket"
"Mega Menu::Support","English","Support","技术支持","Active","dc.mega_menu-support"
"Mega Menu::Support Coverage","English","Support Coverage","支持范围","Active","dc.mega_menu-support_coverage"
"Mega Menu::Support Coverage Description","English","Overview of Liferay's support policies","Liferay Support支持范围概览","Active","dc.mega_menu-support_coverage_description"
"Mega Menu::Support FAQs","English","Support FAQ","关于支持的常见问题","Active (Out of date)","dc.mega_menu-support_faqs"
"Mega Menu::Support FAQs Description","English","Answers to common support-related questions","关于支持的常见问题答案","Active","dc.mega_menu-support_faqs_description"
"Mega Menu_Announcements","English","Announcements","通知","Active","dc.mega_menu_announcements"
"No Articles in Section","English","No Articles in Section","Section中无文章","Active","dc.no_articles_in_section"
"No Section in Category","English","No Section in Category","类别中无Section","Active","dc.no_section_in_category"
"Portal","English","Portal","Portal","Active","dc.portal"
"Products","English","Products","产品","Active","dc.products"
"Product Field::Liferay DXP","English","Liferay DXP","Liferay DXP","Active","dc.product_field-liferay_dxp"
"Product Field::Liferay Portal","English","Liferay Portal","Liferay Portal","Active","dc.product_field-liferay_portal"
"Product Field::Management Tools (LCS)","English","Management Tools (LCS)","管理工具(LCS)","Active","dc.product_field-management_tools_lcs"
"Product Field::Mobile Device Detection","English","Mobile Device Detection","移动设备检测","Active","dc.product_field-mobile_device_detection"
"Product Field::Mobile Experience","English","Mobile Experience","移动端体验","Active","dc.product_field-mobile_experience"
"Product Field::Productivity Tools (Sync)","English","Productivity Tools (Sync)","Productivity Tools (Sync)","Active","dc.product_field-productivity_tools_sync"
"Product Field::Social Office","English","Social Office","Social Office","Active","dc.product_field-social_office"
"Project Details","English","Project Details","项目详情","Active","dc.project_details"
"Quick Links","English","Quick Links","快捷链接","Active","dc.quick_links"
"Related Sites","English","Related Sites","相关网站","Active","dc.related_sites"
"Resources","English","Resources","资源","Active","dc.resources"
"Section::Fix Pack Update","English","Fix Pack Update","补丁包更新","Active","dc.section-fix_pack_update"
"Section::General","English","General","一般","Active","dc.section-general"
"Section::How-to","English","How-to","如何操作","Active","dc.section-how-to"
"Section::Not Supported","English","Not Supported","不支持","Active","dc.section-not_supported"
"Section::Product Release","English","Product Release","产品发布","Active","dc.section-product_release"
"Section::Security Alert","English","Security Alert","安全警告","Active","dc.section-security_alert"
"Section::Supported","English","Supported","支持的","Active","dc.section-supported"
"Section::Support Policy","English","Support Policy","支持政策","Active","dc.section-support_policy"
"Section::System Update","English","System Update","系统更新","Active","dc.section-system_update"
"Section::Troubleshooting","English","Troubleshooting","排错","Active","dc.section-troubleshooting"
"Security","English","Security","安全","Active","dc.security"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","对不起！我们已经搜索了所有内容，未能找到","Active","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Still Need Help","English","Still Need Help?","仍需帮助？","Active","dc.still_need_help"
"Sub-Status::Completed","English","Completed","已完成","Active","dc.sub-status-completed"
"Sub-Status::Reproduced","English","Reproduced","已重现","Active","dc.sub-status-reproduced"
"Sub-Status::Resolution Planning","English","Resolution Planning","解决方案计划中","Active","dc.sub-status-resolution_planning"
"Sub-Status::Solution Proposed","English","Solution Proposed","解决方案已提交","Active","dc.sub-status-solution_proposed"
"Subject Ticket Field - Title","English","Subject","主题","Active","dc.subject_ticket_field_-_title"
"Submit a Ticket","English","Submit a Ticket","提交一个Ticket","Active","dc.submit_a_ticket"
"Support","English","Support","支持","Active","dc.support"
"Support Information","English","Support Information","支持信息","Active","dc.support_information"
"System Status::Completely shutdown","English","Completely shutdown","完全宕机","Active","dc.system_status-completely_shutdown"
"System Status::Fully functional with observed errors","English","Fully functional with observed errors","运行正常，但出现报错","Active","dc.system_status-fully_functional_with_observed_errors"
"System Status::Functioning with limited capabilities","English","Functioning with limited capabilities","部分功能运行","Active","dc.system_status-functioning_with_limited_capabilities"
"System Status::General question about the product","English","General question about the product","关于产品的一般问题","Active","dc.system_status-general_question_about_the_product"
"System Status::Severely impacted or inoperable","English","Severely impacted or inoperable","严重受影响或无法操作","Active","dc.system_status-severely_impacted_or_inoperable"
"System Status::Unstable with periodic interruptions","English","Unstable with periodic interruptions","周期性中断不稳定","Active","dc.system_status-unstable_with_periodic_interruptions"
"Component::APIO Architect","English","APIO Architect","APIO 构架","Active","dc.ticket_view-apio_architect"
"Ticket View::Assignee","English","Assignee","分配的工程师","Active","dc.ticket_view-assignee"
"Ticket View::Component (Commerce)","English","Component","组件","Active","dc.ticket_view-component_commerce"
"Ticket View::Component (DXP)","English","Component","组件","Active","dc.ticket_view-component_dxp"
"Ticket View::Component (Portal)","English","Component","组件","Active","dc.ticket_view-component_portal"
"Ticket View::Description","English","Description","问题描述","Active","dc.ticket_view-description"
"Ticket View::Environment","English","Environment","环境","Active","dc.ticket_view-environment"
"Ticket View::File Attachment","English","Add large files over 20MB here","添加超过20MB的大文件","Active","dc.ticket_view-file_attachment"
"Ticket View::Long-Term Resolution","English","Long-Term Resolution","长远解决方案","Active","dc.ticket_view-long-term_resolution"
"Ticket View::Priority","English","Priority","优先级","Active","dc.ticket_view-priority"
"Ticket View::Product","English","Product","产品","Active","dc.ticket_view-product"
"Ticket View::Sub-Status","English","Sub-Status","子状态","Active","dc.ticket_view-sub-status"
"Ticket View::Subject","English","Subject","标题","Active","dc.ticket_view-subject"
"Ticket View::System Stable","English","System Stable","系统稳定","Active","dc.ticket_view-system_stable"
"Ticket View::System Status","English","System Status","系统状态","Active","dc.ticket_view-system_status"
"View All","English","View All","浏览所有","Active","dc.view_all"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","抱歉，您尚无权限创建一个票","Active","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
