"Title","Default language","Default text","en-US text","Variant status","Placeholder"
"Help Center","English","Help Center","Help Center","Active","dc.help_center"
"Homepage::Announcement Subscribe Button","English","Subscribe","Subscribe","Active","dc.homepage-announcement_subscribe_button"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","Get the latest updates on products, patches, and system improvements.","Active","dc.homepage-announcement_subscribe_description"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","Receive Notifications","Active","dc.homepage-announcement_subscribe_heading"
"Homepage::Ask the Community","English","Ask the Community","Ask the Community","Active","dc.homepage-ask_the_community"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","Active","dc.homepage-ask_the_community_asterisk_description"
"Homepage::Ask the Community Description","English","Learn and share knowledge with community members.","Learn and share knowledge with community members.","Active","dc.homepage-ask_the_community_description"
"Homepage::Browse by Product","English","Browse by Product","Browse by Product","Active","dc.homepage-browse_by_product"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","*24/7 phone support is available for Platinum Level Critical issues only.","Active","dc.homepage-contact_us_asterisk_description"
"Homepage::Contact Us Description","English","Speak with a Liferay Support team member by phone.","Speak with a Liferay Support team member by phone.","Active","dc.homepage-contact_us_description"
"Homepage::Events","English","Events","Events","Active","dc.homepage-events"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","Fix Pack Updates","Active","dc.homepage-fix_pack_updates"
"Homepage::Get Started","English","Get Started on Liferay's Help Center","Get Started on Liferay's Help Center","Active","dc.homepage-get_started"
"Homepage::How can we help?","English","How can we help?","How can we help?","Active","dc.homepage-how_can_we_help"
"Homepage::Learn More","English","Learn More","Learn More","Active","dc.homepage-learn_more"
"Homepage::Liferay Global Services","English","Liferay Global Services","Liferay Global Services","Active","dc.homepage-liferay_global_services"
"Homepage::Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","Gain extensive product and development knowledge from experts to maximize your ROI.","Active","dc.homepage-liferay_global_services_description"
"Homepage::Liferay University","English","Liferay University","Liferay University","Active","dc.homepage-liferay_university"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","Active","dc.homepage-liferay_university_description"
"Homepage::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.homepage-portal_5_2"
"Homepage::Product Releases","English","Product Releases","Product Releases","Active","dc.homepage-product_releases"
"Homepage::Search the Help Center","English","Search the Help Center","Search the Help Center","Active","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","Security Updates","Active","dc.homepage-security_updates"
"Homepage::See More","English","See More","See More","Active","dc.homepage-see_more"
"Homepage::Still Need Help?","English","Still Need Help?","Still Need Help?","Active","dc.homepage-still_need_help"
"Homepage::Submit a Ticket Description","English","Open a support case to report an issue and get help from a Liferay Support Team member.","Open a support case to report an issue and get help from a Liferay Support Team member.","Active","dc.homepage-submit_a_ticket_description"
"How Can We Help","English","How can we help?","How can we help?","Active","dc.how_can_we_help"
"Knowledge Base","English","Knowledge Base","Knowledge Base","Active","dc.knowledge_base"
"Known Issues","English","Known Issues","Known Issues","Active","dc.known_issues"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","Let us know if you can't find a solution to your issue.","Active","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Long-Term Resolution::Bug Fix","English","Bug Fix","Bug Fix","Active","dc.long-term_resolution-bug_fix"
"Long-Term Resolution::Configuration","English","Configuration","Configuration","Active","dc.long-term_resolution-configuration"
"Long-Term Resolution::Custom Development","English","Custom Development","Custom Development","Active","dc.long-term_resolution-custom_development"
"Long-Term Resolution::Developer Documentation","English","Developer Documentation","Developer Documentation","Active","dc.long-term_resolution-developer_documentation"
"Long-Term Resolution::Development","English","Development","Development","Active","dc.long-term_resolution-development"
"Long-Term Resolution::Documentation","English","Documentation","Documentation","Active","dc.long-term_resolution-documentation"
"Long-Term Resolution::N/A","English","N/A","N/A","Active","dc.long-term_resolution-n_a"
"Long-Term Resolution::Out of Scope","English","Out of Scope","Out of Scope","Active","dc.long-term_resolution-out_of_scope"
"Long-Term Resolution::Performance","English","Performance","Performance","Active","dc.long-term_resolution-performance"
"Long-Term Resolution::Product Improvement","English","Product Improvement","Product Improvement","Active","dc.long-term_resolution-product_improvement"
"Long-Term Resolution::Third Party","English","Third Party","Third Party","Active","dc.long-term_resolution-third_party"
"Long-Term Resolution::User Documentation","English","User Documentation","User Documentation","Active","dc.long-term_resolution-user_documentation"
"Mega Menu::Account Support","English","Account Support","Account Support","Active","dc.mega_menu-account_support"
"Mega Menu::Account Support Description","English","Learn more about designated contacts for your project","Learn more about designated contacts for your project","Active","dc.mega_menu-account_support_description"
"Mega Menu::Activation Keys","English","Activation Keys","Activation Keys","Active","dc.mega_menu-activation_keys"
"Mega Menu::Activation Keys Description","English","Activate your environments to start a project","Activate your environments to start a project","Active","dc.mega_menu-activation_keys_description"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.mega_menu-analytics_cloud"
"Mega Menu::Announcements","English","Announcements","Announcements","Active","dc.mega_menu-announcements"
"Mega Menu::Announcements Description","English","Updates on products and system improvements","Updates on products and system improvements","Active","dc.mega_menu-announcements_description"
"Mega Menu::Commerce","English","Commerce","Commerce","Active","dc.mega_menu-commerce"
"Mega Menu::Compatibility Matrix","English","Compatibility Matrix","Compatibility Matrix","Active","dc.mega_menu-compatibility_matrix"
"Mega Menu::Compatibility Matrix Description","English","Supported configurations for Liferay products","Supported configurations for Liferay products","Active","dc.mega_menu-compatibility_matrix_description"
"Mega Menu::Contact Us","English","Contact Us","Contact Us","Active","dc.mega_menu-contact_us"
"Mega Menu::Documentation","English","Documentation","Documentation","Active","dc.mega_menu-documentation"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","Product guides, tutorials, and reference docs","Active","dc.mega_menu-documentation_description"
"Mega Menu::Downloads","English","Downloads","Downloads","Active","dc.mega_menu-downloads"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","Products, service packs, fix packs, and security fixes","Active","dc.mega_menu-downloads_description"
"Mega Menu::DXP 7.0","English","DXP 7.0","DXP 7.0","Active","dc.mega_menu-dxp_7_0"
"Mega Menu::DXP 7.1","English","DXP 7.1","DXP 7.1","Active","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.mega_menu-dxp_cloud"
"Mega Menu::Fix Delivery Method","English","Fix Delivery Method","Fix Delivery Method","Active","dc.mega_menu-fix_delivery_method"
"Mega Menu::Fix Delivery Method Description","English","How Liferay delivers software updates","How Liferay delivers software updates","Active","dc.mega_menu-fix_delivery_method_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","Fix Pack Tool","Active","dc.mega_menu-fix_pack_tool"
"Mega Menu::Fix Pack Tool Description","English","View highlights and release notes for Liferay DXP fix packs","View highlights and release notes for Liferay DXP fix packs","Active","dc.mega_menu-fix_pack_tool_description"
"Mega Menu::Knowledge Base","English","Knowledge Base","Knowledge Base","Active","dc.mega_menu-knowledge_base"
"Mega Menu::Knowledge Base Description","English","Articles on recurring topics, issues, and themes","Articles on recurring topics, issues, and themes","Active","dc.mega_menu-knowledge_base_description"
"Mega Menu::My Tickets","English","My Tickets","My Tickets","Active","dc.mega_menu-my_tickets"
"Mega Menu::Overview","English","Security Overview","Security Overview","Active","dc.mega_menu-overview"
"Mega Menu::Overview Description","English","How Liferay approaches security","How Liferay approaches security","Active","dc.mega_menu-overview_description"
"Mega Menu::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.mega_menu-portal_5_2"
"Mega Menu::Portal 6.0","English","Portal 6.0","Portal 6.0","Active","dc.mega_menu-portal_6_0"
"Mega Menu::Portal 6.1","English","Portal 6.1","Portal 6.1","Active","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.2","English","Portal 6.2","Portal 6.2","Active","dc.mega_menu-portal_6_2"
"Mega Menu::Products","English","Products","Products","Active","dc.mega_menu-products"
"Mega Menu::Project Details","English","Project Details","Project Details","Active","dc.mega_menu-project_details"
"Mega Menu::Release Notes Card","English","Release Notes","Release Notes","Active","dc.mega_menu-release_notes_card"
"Mega Menu::Release Notes Description","English","Reference the latest changes for Liferay DXP","Reference the latest changes for Liferay DXP","Active","dc.mega_menu-release_notes_description"
"Mega Menu::Reporting Security Issues","English","Reporting Security Issues","Reporting Security Issues","Active","dc.mega_menu-reporting_security_issues"
"Mega Menu::Reporting Security Issues Description","English","Process for reporting security vulnerabilities","Process for reporting security vulnerabilities","Active","dc.mega_menu-reporting_security_issues_description"
"Mega Menu::Resources","English","Resources","Resources","Active","dc.mega_menu-resources"
"Mega Menu::Security","English","Security","Security","Active","dc.mega_menu-security"
"Mega Menu::Security Advisories","English","Security Advisories","Security Advisories","Active","dc.mega_menu-security_advisories"
"Mega Menu::Security Advisories Description","English","Information and fixes for known vulnerabilities","Information and fixes for known vulnerabilities","Active","dc.mega_menu-security_advisories_description"
"Mega Menu::Security and Disclosure Policy","English","Security Policies","Security Policies","Active","dc.mega_menu-security_and_disclosure_policy"
"Mega Menu::Security and Disclosure Policy Description","English","Policy for reported security issues in Liferay products","Policy for reported security issues in Liferay products","Active","dc.mega_menu-security_and_disclosure_policy_description"
"Mega Menu::Service Levels","English","Service Levels","Service Levels","Active","dc.mega_menu-service_levels"
"Mega Menu::Service Levels Description","English","Benefits included with each subscription level","Benefits included with each subscription level","Active","dc.mega_menu-service_levels_description"
"Mega Menu::Service Life","English","Service Life","Service Life","Active","dc.mega_menu-service_life"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","End of life policies for Liferay products","Active","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","Submit a Ticket","Active","dc.mega_menu-submit_a_ticket"
"Mega Menu::Support","English","Support","Support","Active","dc.mega_menu-support"
"Mega Menu::Support Coverage","English","Support Coverage","Support Coverage","Active","dc.mega_menu-support_coverage"
"Mega Menu::Support Coverage Description","English","Overview of Liferay's support policies","Overview of Liferay's support policies","Active","dc.mega_menu-support_coverage_description"
"Mega Menu::Support FAQs","English","Support FAQ","Support FAQ","Active","dc.mega_menu-support_faqs"
"Mega Menu::Support FAQs Description","English","Answers to common support-related questions","Answers to common support-related questions","Active","dc.mega_menu-support_faqs_description"
"Mega Menu_Announcements","English","Announcements","Announcements","Active","dc.mega_menu_announcements"
"No Articles in Section","English","No Articles in Section","No Articles in Section","Active","dc.no_articles_in_section"
"No Section in Category","English","No Section in Category","No Section in Category","Active","dc.no_section_in_category"
"Out of Scope::Configuration","English","Configuration","Configuration","Active","dc.out_of_scope-configuration"
"Out of Scope::Custom Development","English","Custom Development","Custom Development","Active","dc.out_of_scope-custom_development"
"Out of Scope::Performance","English","Performance","Performance","Active","dc.out_of_scope-performance"
"Out of Scope::Third-Party","English","Third-Party","Third-Party","Active","dc.out_of_scope-third-party"
"Portal","English","Portal","Portal","Active","dc.portal"
"Products","English","Products","Products","Active","dc.products"
"Product Field::Enterprise Search Premium","English","Enterprise Search Premium","Enterprise Search Premium","Active","dc.product_field-enterprise_search_premium"
"Product Field::Enterprise Search Standard","English","Enterprise Search Standard","Enterprise Search Standard","Active","dc.product_field-enterprise_search_standard"
"Product Field::Liferay DXP","English","Liferay DXP","Liferay DXP","Active","dc.product_field-liferay_dxp"
"Product Field::Liferay Portal","English","Liferay Portal","Liferay Portal","Active","dc.product_field-liferay_portal"
"Product Field::Management Tools (LCS)","English","Management Tools (LCS)","Management Tools (LCS)","Active","dc.product_field-management_tools_lcs"
"Product Field::Mobile Device Detection","English","Mobile Device Detection","Mobile Device Detection","Active","dc.product_field-mobile_device_detection"
"Product Field::Mobile Experience","English","Mobile Experience","Mobile Experience","Active","dc.product_field-mobile_experience"
"Product Field::Productivity Tools (Sync)","English","Productivity Tools (Sync)","Productivity Tools (Sync)","Active","dc.product_field-productivity_tools_sync"
"Product Field::Social Office","English","Social Office","Social Office","Active","dc.product_field-social_office"
"Project Details","English","Project Details","Project Details","Active","dc.project_details"
"Quick Links","English","Quick Links","Quick Links","Active","dc.quick_links"
"Related Sites","English","Related Sites","Related Sites","Active","dc.related_sites"
"Resources","English","Resources","Resources","Active","dc.resources"
"Search Results::All Products","English","All Products","All Products","Active","dc.search_results-all_products"
"Search Results::Filter By","English","FILTER BY:","FILTER BY:","Active","dc.search_results-filter_by"
"Section::Fix Pack Update","English","Fix Pack Update","Fix Pack Update","Active","dc.section-fix_pack_update"
"Section::General","English","General","General","Active","dc.section-general"
"Section::How-to","English","How-to","How-to","Active","dc.section-how-to"
"Section::Not Supported","English","Not Supported","Not Supported","Active","dc.section-not_supported"
"Section::Product Release","English","Product Release","Product Release","Active","dc.section-product_release"
"Section::Security Alert","English","Security Alert","Security Alert","Active","dc.section-security_alert"
"Section::Supported","English","Supported","Supported","Active","dc.section-supported"
"Section::Support Policy","English","Support Policy","Support Policy","Active","dc.section-support_policy"
"Section::System Update","English","System Update","System Update","Active","dc.section-system_update"
"Section::Troubleshooting","English","Troubleshooting","Troubleshooting","Active","dc.section-troubleshooting"
"Security","English","Security","Security","Active","dc.security"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","Sorry! We searched far into outer space, but couldn't find","Active","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Still Need Help","English","Still Need Help?","Still Need Help?","Active","dc.still_need_help"
"Sub-Status::Completed","English","Completed","Completed","Active","dc.sub-status-completed"
"Sub-Status::Reproduced","English","Reproduced","Reproduced","Active","dc.sub-status-reproduced"
"Sub-Status::Resolution Planning","English","Resolution Planning","Resolution Planning","Active","dc.sub-status-resolution_planning"
"Sub-Status::Solution Proposed","English","Solution Proposed","Solution Proposed","Active","dc.sub-status-solution_proposed"
"Subject Ticket Field - Title","English","Subject","Subject","Active","dc.subject_ticket_field_-_title"
"Submit a Ticket","English","Submit a Ticket","Submit a Ticket","Active","dc.submit_a_ticket"
"Support","English","Support","Support","Active","dc.support"
"Support Information","English","Support Information","Support Information","Active","dc.support_information"
"System Status::Completely shutdown","English","Completely shutdown","Completely shutdown","Active","dc.system_status-completely_shutdown"
"System Status::Fully functional with observed errors","English","Fully functional with observed errors","Fully functional with observed errors","Active","dc.system_status-fully_functional_with_observed_errors"
"System Status::Functioning with limited capabilities","English","Functioning with limited capabilities","Functioning with limited capabilities","Active","dc.system_status-functioning_with_limited_capabilities"
"System Status::General question about the product","English","General question about the product","General question about the product","Active","dc.system_status-general_question_about_the_product"
"System Status::Severely impacted or inoperable","English","Severely impacted or inoperable","Severely impacted or inoperable","Active","dc.system_status-severely_impacted_or_inoperable"
"System Status::Unstable with periodic interruptions","English","Unstable with periodic interruptions","Unstable with periodic interruptions","Active","dc.system_status-unstable_with_periodic_interruptions"
"Component::APIO Architect","English","APIO Architect","APIO Architect","Active","dc.ticket_view-apio_architect"
"Ticket View::Assignee","English","Assignee","Assignee","Active","dc.ticket_view-assignee"
"Ticket View::Component (Commerce)","English","Component","Component","Active","dc.ticket_view-component_commerce"
"Ticket View::Component (DXP)","English","Component","Component","Active","dc.ticket_view-component_dxp"
"Ticket View::Component (Portal)","English","Component","Component","Active","dc.ticket_view-component_portal"
"Ticket View::Description","English","Description","Description","Active","dc.ticket_view-description"
"Ticket View::Environment","English","Environment","Environment","Active","dc.ticket_view-environment"
"Ticket View::File Attachment","English","Add large files over 20MB here","Add large files over 20MB here","Active","dc.ticket_view-file_attachment"
"Ticket View::Long-Term Resolution","English","Long-Term Resolution","Long-Term Resolution","Active","dc.ticket_view-long-term_resolution"
"Ticket View::Priority","English","Priority","Priority","Active","dc.ticket_view-priority"
"Ticket View::Product","English","Product","Product","Active","dc.ticket_view-product"
"Ticket View::Sub-Status","English","Sub-Status","Sub-Status","Active","dc.ticket_view-sub-status"
"Ticket View::Subject","English","Subject","Subject","Active","dc.ticket_view-subject"
"Ticket View::Suggested articles","English","Suggested articles","Suggested articles","Active","dc.ticket_view-suggested_articles"
"Ticket View::System Stable","English","System Stable","System Stable","Active","dc.ticket_view-system_stable"
"Ticket View::System Status","English","System Status","System Status","Active","dc.ticket_view-system_status"
"View All","English","View All","View All","Active","dc.view_all"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","We are sorry, but you do not have access to submit a support ticket.","Active","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
